transaction_id,transaction_date,country,currency,transaction_amount,transaction_status,payment_method,merchant_category
86547,2026-03-29,UAE,AED,336.62,successful,wallet,Retail
82586,2026-01-27,UAE,AED,190.6,successful,wallet,Utilities
38604,2026-06-14,Mexico,MXN,22.33,successful,wallet,Utilities
91658,2026-04-18,Poland,INR,102.34,successful,bank_transfer,Utilities
62787,2026-07-14,USA,MXN,84.02,failed,debit_card,Retail
84341,2026-06-05,India,AED,175.01,successful,bank_transfer,Travel
39875,2026-01-19,USA,USD,175.0,successful,credit_card,Services
78469,2026-04-19,USA,PLN,115.49,successful,wallet,Services
31632,2026-05-05,UAE,INR,175.13,successful,credit_card,Services
14953,2026-08-23,India,USD,171.08,failed,bank_transfer,Retail
39332,2026-05-31,USA,PLN,269.96,successful,bank_transfer,Services
48588,2026-03-02,Mexico,INR,140.43,successful,wallet,Food
83595,2026-07-27,Mexico,AED,438.06,successful,debit_card,Food
41488,2026-08-23,Mexico,MXN,1053.39,successful,credit_card,Travel
39628,2026-05-12,UAE,MXN,359.15,successful,wallet,Services
87895,2026-07-30,India,AED,467.19,successful,debit_card,Travel
26304,2026-03-15,India,AED,1194.16,successful,bank_transfer,Retail
67404,2026-07-14,India,AED,118.1,successful,credit_card,Food
98085,2026-03-31,Poland,MXN,287.94,successful,debit_card,Food
95602,2026-05-27,Mexico,AED,112.02,successful,credit_card,Retail
5020,2026-02-11,USA,AED,385.83,successful,wallet,Retail
5224,2026-04-05,India,MXN,211.84,successful,bank_transfer,Retail
15781,2026-02-16,Poland,INR,204.41,successful,debit_card,Services
45557,2026-04-27,Mexico,AED,421.55,successful,bank_transfer,Food
12897,2026-04-20,USA,USD,576.28,successful,debit_card,Travel
34305,2026-07-16,Poland,PLN,1810.02,successful,wallet,Utilities
93323,2026-02-23,USA,INR,60.48,successful,bank_transfer,Retail
5325,2026-01-17,Poland,INR,386.84,successful,wallet,Food
52926,2026-07-29,Poland,AED,126.43,successful,debit_card,Food
62865,2026-04-22,UAE,INR,483.9,successful,debit_card,Food
8019,2026-06-24,India,MXN,117.45,successful,credit_card,Services
82945,2026-07-14,India,MXN,776.17,successful,bank_transfer,Utilities
90377,2026-06-25,USA,PLN,134.75,successful,wallet,Travel
41721,2026-08-19,USA,MXN,203.02,successful,credit_card,Utilities
867,2026-04-02,Mexico,INR,1881.1,successful,credit_card,Retail
98444,2026-01-16,UAE,INR,469.75,successful,debit_card,Travel
83040,2026-03-29,UAE,MXN,147.05,successful,wallet,Retail
13925,2026-03-30,USA,AED,86.01,successful,credit_card,Food
79893,2026-04-18,Poland,AED,324.69,successful,bank_transfer,Travel
31184,2026-04-07,UAE,PLN,186.71,successful,wallet,Food
13800,2026-08-28,UAE,MXN,78.42,successful,credit_card,Retail
40989,2026-06-18,Poland,USD,175.48,failed,debit_card,Retail
66734,2026-07-18,Poland,PLN,210.0,successful,credit_card,Utilities
78331,2026-05-21,USA,PLN,458.6,successful,debit_card,Services
24379,2026-01-15,UAE,PLN,240.4,successful,wallet,Travel
23415,2026-06-24,UAE,USD,147.43,successful,wallet,Food
97560,2026-01-25,Poland,PLN,320.72,successful,bank_transfer,Utilities
22993,2026-08-12,Poland,MXN,179.88,successful,bank_transfer,Food
3232,2026-02-01,Poland,USD,221.69,successful,wallet,Retail
41996,2026-06-13,USA,USD,247.09,successful,debit_card,Retail
49188,2026-07-16,Poland,USD,160.66,successful,credit_card,Services
22515,2026-05-06,Poland,AED,348.45,successful,bank_transfer,Food
21326,2026-01-29,Mexico,MXN,397.65,successful,credit_card,Retail
86234,2026-04-03,Poland,AED,143.1,successful,debit_card,Utilities
88127,2026-01-10,USA,MXN,129.89,successful,debit_card,Retail
29824,2026-01-21,USA,PLN,268.74,successful,credit_card,Retail
92485,2026-06-06,UAE,MXN,364.44,successful,wallet,Food
68425,2026-06-24,Mexico,INR,548.96,successful,bank_transfer,Travel
64484,2026-02-01,UAE,MXN,427.82,successful,wallet,Utilities
51020,2026-08-17,India,AED,263.3,successful,debit_card,Utilities
26754,2026-05-13,UAE,AED,182.85,successful,debit_card,Utilities
49964,2026-06-18,UAE,PLN,109.16,successful,credit_card,Utilities
42732,2026-03-29,USA,USD,149.6,successful,wallet,Food
29057,2026-04-21,India,MXN,117.62,successful,bank_transfer,Utilities
55318,2026-02-09,India,MXN,700.18,successful,credit_card,Food
35497,2026-08-25,USA,PLN,133.38,successful,bank_transfer,Travel
56338,2026-07-09,Poland,PLN,375.49,successful,wallet,Retail
79278,2026-07-05,Poland,MXN,221.4,successful,debit_card,Services
5465,2026-04-19,Mexico,INR,64.76,successful,debit_card,Food
70156,2026-01-02,Mexico,USD,215.01,successful,wallet,Utilities
70670,2026-08-28,India,USD,158.16,successful,wallet,Utilities
56014,2026-06-28,India,PLN,214.81,successful,credit_card,Retail
12086,2026-04-03,UAE,PLN,422.88,successful,debit_card,Utilities
56819,2026-08-03,UAE,AED,483.15,successful,bank_transfer,Travel
20001,2026-05-26,USA,MXN,336.79,successful,credit_card,Food
69067,2026-06-11,USA,PLN,1243.89,successful,credit_card,Utilities
50453,2026-05-04,Mexico,PLN,135.58,successful,credit_card,Retail
90710,2026-07-29,Mexico,PLN,229.95,successful,wallet,Utilities
52885,2026-05-13,USA,MXN,251.45,successful,credit_card,Food
30964,2026-02-12,Mexico,AED,209.41,successful,wallet,Utilities
34574,2026-07-15,UAE,PLN,136.35,successful,credit_card,Food
15295,2026-01-15,India,INR,1131.18,successful,debit_card,Travel
27919,2026-03-03,USA,USD,243.56,successful,debit_card,Food
46121,2026-05-04,USA,AED,196.46,successful,credit_card,Retail
35074,2026-05-17,Mexico,AED,54.23,successful,credit_card,Food
10551,2026-05-27,Mexico,USD,261.4,successful,wallet,Retail
91128,2026-04-29,Mexico,INR,69.56,successful,debit_card,Travel
691,2026-02-15,UAE,PLN,363.75,successful,bank_transfer,Utilities
77730,2026-07-02,India,INR,174.81,successful,credit_card,Utilities
36097,2026-04-19,UAE,USD,56.3,successful,bank_transfer,Food
65352,2026-05-10,Poland,AED,723.33,successful,bank_transfer,Services
11041,2026-05-10,UAE,INR,170.56,successful,credit_card,Retail
4222,2026-07-22,Mexico,USD,420.62,successful,bank_transfer,Food
822,2026-01-29,UAE,AED,180.26,successful,debit_card,Retail
38129,2026-08-03,India,AED,438.43,successful,bank_transfer,Retail
89152,2026-03-09,Mexico,MXN,2966.7,successful,bank_transfer,Travel
29232,2026-07-03,UAE,MXN,296.7,successful,wallet,Services
50557,2026-04-18,UAE,INR,170.15,successful,wallet,Food
33685,2026-02-14,USA,INR,238.79,successful,bank_transfer,Services
58754,2026-07-31,Poland,PLN,93.83,successful,debit_card,Food
27023,2026-01-27,USA,USD,632.68,successful,bank_transfer,Services
36906,2026-06-10,Mexico,INR,241.32,successful,credit_card,Retail
271,2026-03-22,Mexico,USD,155.68,failed,debit_card,Travel
8867,2026-08-30,India,INR,328.11,successful,wallet,Food
15007,2026-05-26,UAE,PLN,122.15,successful,credit_card,Travel
4689,2026-04-27,Poland,PLN,349.7,successful,credit_card,Travel
81996,2026-03-14,Poland,MXN,1930.67,successful,wallet,Food
84373,2026-05-09,India,MXN,145.29,successful,debit_card,Food
2515,2026-02-22,Poland,AED,308.89,successful,debit_card,Services
36400,2026-06-13,Mexico,USD,944.79,successful,bank_transfer,Food
38869,2026-06-10,Mexico,PLN,694.35,successful,credit_card,Travel
58245,2026-02-22,Mexico,AED,547.08,successful,wallet,Retail
30410,2026-07-25,Mexico,USD,252.35,successful,debit_card,Utilities
54795,2026-03-20,USA,PLN,229.0,successful,credit_card,Services
19264,2026-03-25,UAE,USD,89.52,successful,wallet,Food
83910,2026-01-05,Mexico,AED,165.23,successful,wallet,Retail
26974,2026-05-20,Poland,INR,91.45,failed,wallet,Utilities
7130,2026-03-25,USA,PLN,52.11,successful,credit_card,Travel
7145,2026-01-21,Poland,USD,271.86,successful,bank_transfer,Travel
45466,2026-01-31,India,INR,845.65,successful,wallet,Travel
1967,2026-06-10,USA,AED,442.72,successful,credit_card,Travel
15153,2026-02-24,Poland,PLN,432.47,successful,wallet,Utilities
19114,2026-05-26,Mexico,AED,353.07,successful,bank_transfer,Food
76207,2026-06-06,USA,USD,186.38,successful,wallet,Travel
32142,2026-03-23,USA,USD,410.57,successful,credit_card,Utilities
21935,2026-05-07,Poland,PLN,45.47,successful,credit_card,Utilities
40360,2026-01-11,Mexico,INR,138.37,successful,credit_card,Travel
53842,2026-04-12,Mexico,MXN,353.63,successful,bank_transfer,Retail
9163,2026-03-11,UAE,PLN,792.27,successful,wallet,Travel
87844,2026-04-09,India,MXN,499.29,successful,wallet,Food
37630,2026-08-30,India,USD,260.58,successful,wallet,Services
83305,2026-06-27,Mexico,INR,172.3,successful,debit_card,Travel
66270,2026-07-19,Poland,USD,735.74,successful,debit_card,Utilities
34654,2026-05-15,Mexico,AED,357.21,successful,bank_transfer,Food
41963,2026-04-16,India,USD,735.52,successful,credit_card,Retail
39591,2026-07-31,Mexico,INR,50.26,successful,credit_card,Food
81036,2026-02-04,USA,INR,246.0,successful,wallet,Utilities
10981,2026-04-16,Poland,PLN,209.85,successful,bank_transfer,Retail
56300,2026-05-14,Mexico,MXN,153.71,successful,bank_transfer,Food
61549,2026-05-06,UAE,USD,124.52,successful,wallet,Travel
88401,2026-03-29,India,AED,684.2,successful,bank_transfer,Food
44324,2026-05-05,UAE,PLN,347.88,successful,bank_transfer,Travel
55208,2026-03-14,India,PLN,671.59,successful,debit_card,Food
53528,2026-03-31,Poland,AED,42.42,successful,wallet,Travel
26971,2026-05-23,Mexico,INR,147.43,successful,debit_card,Retail
73218,2026-05-28,Mexico,INR,437.33,successful,debit_card,Food
65891,2026-07-02,Mexico,INR,583.58,successful,debit_card,Food
42222,2026-08-10,USA,AED,141.57,successful,debit_card,Food
97866,2026-02-19,USA,PLN,150.97,failed,wallet,Food
12251,2026-05-02,UAE,PLN,161.04,successful,debit_card,Retail
69437,2026-02-25,Poland,MXN,162.66,successful,bank_transfer,Travel
38433,2026-07-15,India,AED,831.65,successful,credit_card,Travel
40890,2026-03-08,UAE,AED,286.47,successful,bank_transfer,Services
30999,2026-08-01,Poland,MXN,81.21,successful,debit_card,Retail
56146,2026-08-13,Poland,MXN,64.61,successful,debit_card,Utilities
95414,2026-03-01,Poland,MXN,424.54,successful,bank_transfer,Utilities
22156,2026-05-25,Mexico,MXN,341.69,successful,credit_card,Services
17614,2026-03-05,Mexico,INR,630.52,successful,bank_transfer,Food
56444,2026-07-03,India,PLN,434.44,successful,bank_transfer,Travel
98400,2026-07-05,UAE,MXN,112.1,successful,credit_card,Retail
24053,2026-04-16,UAE,USD,206.46,successful,bank_transfer,Travel
50243,2026-06-23,USA,INR,113.21,successful,bank_transfer,Retail
58999,2026-03-15,Mexico,INR,256.21,successful,credit_card,Services
31345,2026-01-14,USA,MXN,770.46,successful,bank_transfer,Services
61242,2026-06-19,Poland,PLN,611.82,successful,credit_card,Retail
92530,2026-05-04,Mexico,AED,192.66,successful,wallet,Travel
80829,2026-06-01,UAE,PLN,558.45,successful,credit_card,Utilities
51726,2026-06-09,Poland,PLN,470.14,successful,credit_card,Services
33880,2026-02-09,UAE,INR,175.19,successful,credit_card,Travel
83007,2026-02-11,Mexico,PLN,118.76,successful,wallet,Utilities
73909,2026-02-21,USA,USD,104.24,successful,credit_card,Travel
67247,2026-08-17,Mexico,AED,69.93,successful,bank_transfer,Travel
88808,2026-05-19,India,PLN,138.28,successful,credit_card,Travel
13122,2026-05-16,USA,PLN,267.82,successful,bank_transfer,Food
8258,2026-06-16,Poland,PLN,390.28,successful,credit_card,Services
93381,2026-01-05,Mexico,USD,259.92,successful,bank_transfer,Retail
13915,2026-04-04,Poland,MXN,366.36,successful,credit_card,Retail
30903,2026-03-27,Mexico,PLN,80.66,successful,debit_card,Food
72859,2026-01-08,USA,INR,225.79,successful,bank_transfer,Retail
20293,2026-06-22,UAE,USD,578.93,successful,wallet,Services
58171,2026-06-07,Mexico,MXN,172.1,successful,debit_card,Utilities
20950,2026-08-08,India,USD,134.83,successful,credit_card,Retail
36695,2026-03-15,UAE,MXN,830.94,successful,wallet,Retail
8526,2026-02-09,USA,MXN,149.43,successful,wallet,Utilities
78272,2026-06-27,India,PLN,373.99,successful,wallet,Utilities
77403,2026-07-24,USA,PLN,687.65,successful,wallet,Food
77652,2026-06-04,UAE,MXN,427.86,successful,bank_transfer,Travel
99837,2026-01-07,Poland,PLN,986.72,successful,debit_card,Utilities
92272,2026-07-24,USA,MXN,223.08,successful,credit_card,Food
29776,2026-04-11,India,MXN,301.11,successful,bank_transfer,Services
34808,2026-06-13,Poland,INR,95.32,successful,wallet,Utilities
16886,2026-08-05,USA,USD,138.5,successful,credit_card,Travel
49984,2026-08-25,Poland,INR,86.85,successful,debit_card,Travel
62615,2026-02-21,Mexico,AED,574.89,successful,debit_card,Food
14229,2026-02-21,India,INR,205.36,successful,bank_transfer,Services
52177,2026-06-10,Mexico,PLN,99.12,successful,bank_transfer,Services
8029,2026-04-12,UAE,AED,64.84,successful,bank_transfer,Travel
28922,2026-04-29,Poland,INR,129.15,successful,wallet,Retail
69420,2026-05-20,India,INR,141.82,successful,bank_transfer,Services
70812,2026-01-14,India,INR,63.89,successful,debit_card,Retail
34364,2026-02-25,UAE,USD,418.51,successful,credit_card,Travel
43204,2026-05-17,Poland,INR,525.12,successful,bank_transfer,Retail
36795,2026-01-08,Poland,USD,347.17,successful,bank_transfer,Travel
97027,2026-02-21,Poland,MXN,44.31,successful,credit_card,Services
63343,2026-03-05,USA,PLN,172.45,successful,wallet,Food
36956,2026-07-24,Mexico,USD,187.47,successful,debit_card,Retail
69229,2026-04-28,Poland,USD,451.13,successful,bank_transfer,Retail
9424,2026-01-26,Poland,INR,218.29,successful,credit_card,Services
86001,2026-08-11,Poland,PLN,500.83,successful,wallet,Services
16959,2026-03-28,USA,PLN,113.25,successful,credit_card,Travel
21615,2026-02-22,Poland,INR,36.35,successful,debit_card,Travel
61462,2026-03-31,Poland,INR,271.16,successful,bank_transfer,Utilities
61774,2026-01-30,Mexico,USD,22.13,successful,debit_card,Food
86802,2026-08-18,Poland,USD,726.01,successful,wallet,Food
67503,2026-02-01,Poland,AED,172.43,failed,debit_card,Retail
79371,2026-02-19,Poland,MXN,145.95,successful,wallet,Services
34497,2026-05-30,USA,USD,994.17,successful,bank_transfer,Retail
43009,2026-07-31,Mexico,PLN,66.72,successful,debit_card,Services
91598,2026-04-19,India,USD,205.56,successful,wallet,Utilities
75439,2026-05-24,India,INR,94.72,successful,bank_transfer,Food
29720,2026-04-25,USA,PLN,858.88,successful,credit_card,Utilities
38607,2026-02-28,India,USD,367.62,successful,bank_transfer,Food
77127,2026-08-04,Mexico,AED,78.39,failed,wallet,Retail
97088,2026-08-28,Poland,AED,189.5,successful,debit_card,Services
24627,2026-06-26,Poland,PLN,350.76,successful,credit_card,Food
61815,2026-05-20,Mexico,PLN,485.26,successful,wallet,Retail
69756,2026-05-11,India,USD,422.21,successful,bank_transfer,Retail
11931,2026-01-01,USA,INR,455.52,successful,debit_card,Travel
16161,2026-01-06,India,AED,1357.04,successful,wallet,Utilities
47440,2026-06-25,Mexico,USD,59.65,successful,credit_card,Utilities
34606,2026-04-17,India,AED,167.74,successful,wallet,Food
14107,2026-03-08,Poland,INR,285.88,successful,bank_transfer,Services
90651,2026-02-20,USA,AED,98.69,successful,debit_card,Utilities
98435,2026-04-24,USA,PLN,139.58,successful,wallet,Services
17503,2026-05-21,Poland,MXN,252.93,successful,credit_card,Utilities
63486,2026-02-20,UAE,INR,260.17,successful,debit_card,Retail
33076,2026-05-19,India,MXN,177.75,successful,wallet,Travel
79809,2026-02-06,USA,AED,415.89,successful,debit_card,Travel
90791,2026-07-28,Mexico,INR,214.8,successful,debit_card,Utilities
93365,2026-01-05,Mexico,PLN,766.59,successful,debit_card,Utilities
18293,2026-01-19,India,PLN,108.78,successful,bank_transfer,Travel
43850,2026-04-26,India,MXN,266.98,successful,bank_transfer,Travel
35068,2026-01-09,India,MXN,105.51,successful,debit_card,Utilities
61393,2026-02-07,Mexico,PLN,1453.11,successful,debit_card,Services
27382,2026-04-16,Mexico,PLN,239.37,successful,bank_transfer,Services
85414,2026-06-01,Mexico,INR,329.06,successful,bank_transfer,Retail
13798,2026-04-21,Poland,USD,984.7,successful,debit_card,Retail
1729,2026-01-24,UAE,PLN,209.3,successful,credit_card,Food
66101,2026-03-08,UAE,INR,413.77,successful,bank_transfer,Retail
7678,2026-05-24,Poland,USD,642.68,successful,wallet,Retail
73315,2026-05-15,India,PLN,260.67,successful,bank_transfer,Retail
69696,2026-06-16,Mexico,PLN,300.76,successful,wallet,Services
5439,2026-05-19,Mexico,USD,763.21,successful,debit_card,Services
73381,2026-06-22,India,MXN,237.26,successful,credit_card,Food
34591,2026-04-10,Mexico,AED,70.31,successful,wallet,Travel
8453,2026-04-09,Poland,PLN,528.49,successful,wallet,Travel
6235,2026-01-30,UAE,PLN,358.79,successful,debit_card,Utilities
56580,2026-08-11,Mexico,INR,821.31,successful,debit_card,Retail
44069,2026-06-22,Mexico,AED,528.03,successful,credit_card,Services
73662,2026-08-04,USA,AED,512.74,successful,wallet,Retail
18242,2026-05-21,India,MXN,47.58,successful,credit_card,Retail
72560,2026-01-01,Poland,PLN,864.5,successful,credit_card,Travel
11373,2026-05-13,USA,INR,322.1,successful,credit_card,Utilities
53068,2026-03-29,Poland,USD,592.94,successful,credit_card,Services
54397,2026-01-13,India,AED,80.43,successful,bank_transfer,Utilities
60744,2026-06-25,USA,USD,167.13,successful,credit_card,Retail
4233,2026-01-08,Poland,MXN,349.25,successful,wallet,Retail
66150,2026-06-27,India,PLN,246.37,successful,wallet,Utilities
227,2026-07-09,UAE,MXN,803.41,successful,wallet,Services
38051,2026-04-15,Mexico,AED,63.39,successful,credit_card,Utilities
75831,2026-03-17,India,AED,111.93,successful,wallet,Travel
11713,2026-04-07,India,AED,383.67,failed,debit_card,Utilities
89799,2026-06-23,India,MXN,217.73,successful,bank_transfer,Travel
84722,2026-02-25,Poland,MXN,651.42,successful,debit_card,Services
11651,2026-01-23,India,PLN,33.69,successful,credit_card,Retail
63793,2026-07-25,Mexico,AED,230.5,successful,credit_card,Travel
18332,2026-05-29,Poland,AED,110.72,successful,debit_card,Travel
59465,2026-07-05,UAE,PLN,301.18,successful,debit_card,Utilities
31839,2026-06-28,Poland,PLN,252.86,successful,bank_transfer,Services
35888,2026-04-05,Poland,PLN,328.64,successful,wallet,Retail
70558,2026-03-05,Poland,INR,273.66,successful,wallet,Retail
68842,2026-03-26,India,PLN,179.66,successful,credit_card,Services
44300,2026-06-03,India,AED,80.32,successful,debit_card,Travel
39432,2026-01-12,India,AED,199.39,successful,bank_transfer,Utilities
71758,2026-04-20,USA,INR,94.75,successful,debit_card,Services
51267,2026-03-29,Poland,PLN,168.31,successful,credit_card,Food
49809,2026-08-05,Poland,MXN,233.36,successful,bank_transfer,Utilities
86689,2026-05-06,India,AED,399.09,successful,debit_card,Utilities
61005,2026-04-21,USA,AED,138.35,successful,bank_transfer,Services
60771,2026-08-17,UAE,MXN,267.44,successful,credit_card,Retail
88,2026-02-23,UAE,AED,140.81,successful,wallet,Services
77204,2026-06-04,India,INR,78.96,successful,credit_card,Utilities
51988,2026-04-07,Poland,AED,1058.29,successful,credit_card,Services
82150,2026-01-18,UAE,INR,165.52,successful,bank_transfer,Services
43734,2026-03-26,India,AED,187.03,successful,bank_transfer,Travel
95182,2026-02-17,India,USD,587.41,successful,debit_card,Utilities
88477,2026-05-13,Mexico,USD,208.74,successful,debit_card,Food
62006,2026-06-27,Poland,INR,155.78,successful,credit_card,Services
30884,2026-07-15,Poland,USD,2954.83,successful,credit_card,Services
50767,2026-03-13,Poland,MXN,288.2,successful,bank_transfer,Services
